[2024-07-27 22:49:14,919: INFO: main: Welcome to our custom log]
[2024-07-28 00:05:27,444: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-28 00:05:27,499: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-28 00:08:46,390: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-28 00:08:46,394: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-28 00:10:06,517: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-28 00:10:06,536: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-28 00:10:06,540: INFO: common: created directory at: artifacts]
[2024-07-28 00:10:06,543: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-28 00:10:06,547: INFO: 986331348: Downloading data from https://drive.google.com/file/d/19690-vCbxBz2iMctk2_u-Bu14Zz6TNRB/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-07-28 00:14:42,716: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-28 00:14:42,723: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-28 00:14:42,726: INFO: common: created directory at: artifacts]
[2024-07-28 00:14:42,729: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-28 00:14:42,731: INFO: 986331348: Downloading data from https://drive.google.com/file/d/19690-vCbxBz2iMctk2_u-Bu14Zz6TNRB/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-07-28 00:16:29,024: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-28 00:16:29,032: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-28 00:16:29,035: INFO: common: created directory at: artifacts]
[2024-07-28 00:16:29,039: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-28 00:16:29,043: INFO: 986331348: Downloading data from https://drive.google.com/file/d/19690-vCbxBz2iMctk2_u-Bu14Zz6TNRB/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-07-28 00:19:30,662: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-28 00:19:30,669: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-28 00:19:30,671: INFO: common: created directory at: artifacts]
[2024-07-28 00:19:30,673: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-28 00:19:30,676: INFO: 986331348: Downloading data from https://drive.google.com/file/d/19690-vCbxBz2iMctk2_u-Bu14Zz6TNRB/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-07-28 00:21:16,119: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-28 00:21:16,129: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-28 00:21:16,132: INFO: common: created directory at: artifacts]
[2024-07-28 00:21:16,143: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-28 00:21:16,146: INFO: 986331348: Downloading data from https://drive.google.com/file/d/19690-vCbxBz2iMctk2_u-Bu14Zz6TNRB/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-07-28 10:57:36,702: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-28 10:57:36,716: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-28 10:57:36,719: INFO: common: created directory at: artifacts]
[2024-07-28 10:57:36,723: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-28 10:57:36,728: INFO: 986331348: Downloading data from https://drive.google.com/file/d/19690-vCbxBz2iMctk2_u-Bu14Zz6TNRB/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-07-28 10:57:45,489: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/19690-vCbxBz2iMctk2_u-Bu14Zz6TNRB/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-07-28 11:26:57,938: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-28 11:26:57,954: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-28 11:26:57,960: INFO: common: created directory at: artifacts]
[2024-07-28 11:26:57,966: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-28 11:26:57,972: INFO: 986331348: Downloading data from https://drive.google.com/file/d/19690-vCbxBz2iMctk2_u-Bu14Zz6TNRB/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-07-28 11:27:06,963: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/19690-vCbxBz2iMctk2_u-Bu14Zz6TNRB/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-07-28 11:30:49,674: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-07-28 11:30:49,679: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-28 11:30:49,684: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-28 11:30:49,685: INFO: common: created directory at: artifacts]
[2024-07-28 11:30:49,686: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-28 11:30:49,686: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/19690-vCbxBz2iMctk2_u-Bu14Zz6TNRB/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-07-28 11:30:58,535: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/19690-vCbxBz2iMctk2_u-Bu14Zz6TNRB/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-07-28 11:31:00,076: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-07-28 11:58:30,965: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-28 11:58:30,977: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-28 11:58:30,986: INFO: common: created directory at: artifacts]
[2024-07-28 11:58:30,995: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-07-28 11:58:45,978: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
